hora_muestra,ph,grupo,salinidad,temperatura,conductividad,conductividad2,agua_subterranea,agua_intersticial,solidos_totales_disueltos
2024-07-04T20:07:00Z,0,vicenteguerrero,0.0,0.0,2884.0,0.0,1.5,0.5,0.0
2024-06-19T13:56:00Z,0,vicenteguerrero,0.0,0.0,3622.0,0.0,1.5,0.5,0.0
2024-06-04T18:48:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-05-19T14:40:00Z,0,vicenteguerrero,0.0,0.0,1040.0,0.0,1.5,0.5,0.0
2024-05-04T22:45:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-04-17T15:12:00Z,0,riochico,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-04-02T14:36:00Z,0,riochico,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-04-19T13:42:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-04-04T18:29:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-03-20T21:20:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-03-04T09:51:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-02-19T09:02:00Z,0,vicenteguerrero,0.0,0.0,5201.0,0.0,1.5,0.5,0.0
2024-02-04T02:16:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2024-01-19T09:48:00Z,5.60,vicenteguerrero,0.92,24.7,1632.0,,1.5,0.5,919.0
2024-01-04T12:12:00Z,4.28,vicenteguerrero,0.18,26.5,484.0,369.0,1.5,0.5,184.0
2023-12-21T10:25:00Z,05.02,vicenteguerrero,0.27,25.5,335.0,625.0,1.5,0.5,315.0
2023-12-04T10:06:00Z,5.57,vicenteguerrero,0.17,26.6,371.0,353.0,1.5,0.5,176.0
2023-12-05T09:34:00Z,7.96,lapunta,0.01,26.6,163.0,250.0,2.3,1.79,126.0
2023-12-02T15:11:00Z,5.73,riochico,0.4,27.2,797.0,797.0,1.5,0.5,391.0
2023-11-17T13:37:00Z,6.1,riochico,0.28,27.0,5.14,5.14,,,286.0
2023-11-19T11:26:00Z,5.51,vicenteguerrero,0.19,27.5,759.0,402.0,1.5,0.5,200.0
2023-10-31T13:31:00Z,0,riousumacinta1,0.0,0.0,0.0,17.5,15.0,0.0,0.0
2023-11-04T10:53:00Z,0,vicenteguerrero,0.0,0.0,0.0,0.0,1.5,0.5,0.0
2023-10-18T18:00:00Z,7.55,lapunta,0.01,28.5,260.0,470.0,1.99,0.77,220.0
2023-10-06T17:17:00Z,7.15,lapunta,0.01,29.1,323.0,417.0,1.37,0.03,161.0
2023-10-19T15:30:00Z,4.91,vicenteguerrero,0.43,29.2,633.0,633.0,1.5,0.5,430.0
2023-09-30T13:04:00Z,7,riochico,7.0,36.0,2.0,,2.0,4.0,58.0
2023-10-04T10:53:00Z,4.93,vicenteguerrero,0.13,30.6,671.0,273.0,1.5,0.5,136.0
2023-07-04T12:29:00Z,5.22,vicenteguerrero,1.22,32.7,2454.0,2454.0,0.0,0.5,1221.0
2023-06-30T17:00:00Z,7.35,lapunta,0.02,31.2,495.0,,92.0,3.0,247.0
2023-06-09T12:00:00Z,0,riochico,0.0,0.0,0.0,,0.0,0.0,0.0
2023-05-31T16:20:00Z,6.88,lapunta,0.01,32.9,315.0,,42.0,3.5,155.0
